Entity,Year,Fish landings by British vessels
England and Wales,1981,135620
England and Wales,1982,135371
England and Wales,1983,124038
England and Wales,1984,101085
England and Wales,1985,93540
England and Wales,1986,86674
England and Wales,1987,102735
England and Wales,1988,103340.4255
England and Wales,1989,93946.73913
England and Wales,1990,83800
England and Wales,1991,90549.45055
England and Wales,1992,93448.27586
England and Wales,1993,98720.93023
England and Wales,1994,100352.9412
England and Wales,1995,98571.42857
England and Wales,1996,96829.26829
England and Wales,1997,104545.4545
England and Wales,1998,106142.8571
England and Wales,1999,84507.04225
England and Wales,2000,67500
England and Wales,2001,66111.11111
England and Wales,2002,56575.34247
England and Wales,2003,48028.16901
England and Wales,2004,50597.01493
England and Wales,2005,53728.81356
England and Wales,2006,49075.63025
England and Wales,2007,47575.75758
United Kingdom,1889,310628.867
United Kingdom,1890,312654.7122
United Kingdom,1891,318394.8186
United Kingdom,1892,323933.6968
United Kingdom,1893,338755.9928
United Kingdom,1894,358661.9271
United Kingdom,1895,380637.6507
United Kingdom,1896,395320.4434
United Kingdom,1897,387293.317
United Kingdom,1898,393681.2041
United Kingdom,1899,398273.7363
United Kingdom,1900,388405.6852
United Kingdom,1901,398445.9054
United Kingdom,1902,440784.0733
United Kingdom,1903,508068.6827
United Kingdom,1904,508200.3624
United Kingdom,1905,504823.5304
United Kingdom,1906,564620.2804
United Kingdom,1907,600879.6426
United Kingdom,1908,601296.3743
United Kingdom,1909,602398.4804
United Kingdom,1910,599652.6644
United Kingdom,1911,614099.8358
United Kingdom,1912,595891.3602
United Kingdom,1913,570812.6293
United Kingdom,1914,518519.5891
United Kingdom,1915,295039.354
United Kingdom,1916,237624.6753
United Kingdom,1917,194438.8195
United Kingdom,1918,214926.5931
United Kingdom,1919,437713.8334
United Kingdom,1920,642343.7307
United Kingdom,1921,538344.9256
United Kingdom,1922,602015.6847
United Kingdom,1923,518279.04
United Kingdom,1924,553328.646
United Kingdom,1925,597892.8711
United Kingdom,1926,557586.1366
United Kingdom,1927,606659.9845
United Kingdom,1928,588488.239
United Kingdom,1929,626933.8294
United Kingdom,1930,719486.4086
United Kingdom,1931,706298.475
United Kingdom,1932,708940.7558
United Kingdom,1933,693106.1723
United Kingdom,1934,681773.2356
United Kingdom,1935,701811.7133
United Kingdom,1936,759347.8604
United Kingdom,1937,804633.4788
United Kingdom,1938,769596.8783
United Kingdom,1939,622670.0901
United Kingdom,1940,239911.5938
United Kingdom,1941,187598.9947
United Kingdom,1942,235032.8412
United Kingdom,1943,233864.0316
United Kingdom,1944,245343.6347
United Kingdom,1945,374163.0948
United Kingdom,1946,711411.0707
United Kingdom,1947,784693.0497
United Kingdom,1948,783078.7543
United Kingdom,1949,803492.1533
United Kingdom,1950,708558.519
United Kingdom,1951,778737.9986
United Kingdom,1952,775779.8287
United Kingdom,1953,750685.2983
United Kingdom,1954,740495.3635
United Kingdom,1955,789197.2366
United Kingdom,1956,793522.9548
United Kingdom,1957,752409.8855
United Kingdom,1958,752434.2199
United Kingdom,1959,718009.94
United Kingdom,1960,693478.5535
United Kingdom,1961,654203.2592
United Kingdom,1962,687773.0944
United Kingdom,1963,674190.0709
United Kingdom,1964,687781.2227
United Kingdom,1965,733714.2857
United Kingdom,1966,715580.9524
United Kingdom,1967,710806.3492
United Kingdom,1968,729447.619
United Kingdom,1969,727771.4286
United Kingdom,1970,730869.8413
United Kingdom,1971,715022.2222
United Kingdom,1972,672558.7302
United Kingdom,1973,662755.5556
United Kingdom,1974,640609.5238
United Kingdom,1975,579120
United Kingdom,1976,576117
United Kingdom,1977,494860
United Kingdom,1978,430190
United Kingdom,1979,364757
United Kingdom,1980,373101
United Kingdom,1981,410867
United Kingdom,1982,448025
United Kingdom,1983,427507
United Kingdom,1984,395028
United Kingdom,1985,402254
United Kingdom,1986,379724
United Kingdom,1987,377972
United Kingdom,1988,361616
United Kingdom,1989,371500
United Kingdom,1990,324000
United Kingdom,1991,317600
United Kingdom,1992,321000
United Kingdom,1993,356900
United Kingdom,1994,369600
United Kingdom,1995,380500
United Kingdom,1996,393300
United Kingdom,1997,392400
United Kingdom,1998,357700
United Kingdom,1999,292100
United Kingdom,2000,255900
United Kingdom,2001,218400
United Kingdom,2002,214200
United Kingdom,2003,173300
United Kingdom,2004,171200
United Kingdom,2005,164800
United Kingdom,2006,154400
United Kingdom,2007,148000
