Entity,Year,Annual CO2 emissions from coal (per capita)
United Kingdom,1847,3.7643142
United Kingdom,1848,4.0223227
United Kingdom,1849,4.3204474
United Kingdom,1850,4.489172
United Kingdom,1851,4.252994
United Kingdom,1852,4.2159934
United Kingdom,1853,4.167399
United Kingdom,1854,4.9915624
United Kingdom,1855,4.6457763
United Kingdom,1856,4.969304
United Kingdom,1857,4.850571
United Kingdom,1858,4.725093
United Kingdom,1859,5.212383
United Kingdom,1860,5.8072352
United Kingdom,1861,6.0077467
United Kingdom,1862,5.7687616
United Kingdom,1863,6.0833073
United Kingdom,1864,6.4925046
United Kingdom,1865,6.823807
United Kingdom,1866,6.9716477
United Kingdom,1867,7.098979
United Kingdom,1868,6.905733
United Kingdom,1869,7.1829076
United Kingdom,1870,7.27118
United Kingdom,1871,7.631206
United Kingdom,1872,7.9649487
United Kingdom,1873,8.183165
United Kingdom,1874,7.8730826
United Kingdom,1875,8.231363
United Kingdom,1876,8.135464
United Kingdom,1877,8.19865
United Kingdom,1878,7.9753118
United Kingdom,1879,7.945203
United Kingdom,1880,8.5837755
United Kingdom,1881,8.938673
United Kingdom,1882,8.940265
United Kingdom,1883,9.226459
United Kingdom,1884,8.9178295
United Kingdom,1885,8.734728
United Kingdom,1886,8.5878935
United Kingdom,1887,8.7373
United Kingdom,1888,9.008072
United Kingdom,1889,9.25079
United Kingdom,1890,9.385376
United Kingdom,1891,9.492467
United Kingdom,1892,9.211519
United Kingdom,1893,8.162882
United Kingdom,1894,9.265385
United Kingdom,1895,9.263068
United Kingdom,1896,9.436716
United Kingdom,1897,9.60039
United Kingdom,1898,9.5238285
United Kingdom,1899,10.110296
United Kingdom,1900,10.140881
United Kingdom,1901,9.832818
United Kingdom,1902,10.118442
United Kingdom,1903,10.10963
United Kingdom,1904,10.064483
United Kingdom,1905,10.109987
United Kingdom,1906,10.384383
United Kingdom,1907,10.75565
United Kingdom,1908,10.388273
United Kingdom,1909,10.396628
United Kingdom,1910,10.410395
United Kingdom,1911,10.601533
United Kingdom,1912,9.972229
United Kingdom,1913,10.846252
United Kingdom,1914,10.427884
United Kingdom,1915,10.537715
United Kingdom,1916,10.912674
United Kingdom,1917,10.642458
United Kingdom,1918,9.729232
United Kingdom,1919,9.62796
United Kingdom,1920,10.109585
United Kingdom,1921,6.844991
United Kingdom,1922,9.164856
United Kingdom,1923,9.735206
United Kingdom,1924,10.1852
United Kingdom,1925,9.624765
United Kingdom,1926,5.2320504
United Kingdom,1927,9.993223
United Kingdom,1928,9.379058
United Kingdom,1929,9.896949
United Kingdom,1930,9.457236
United Kingdom,1931,8.822508
United Kingdom,1932,8.449321
United Kingdom,1933,8.318429
United Kingdom,1934,8.918227
United Kingdom,1935,8.994401
United Kingdom,1936,9.456054
United Kingdom,1937,9.706575
United Kingdom,1938,9.227568
United Kingdom,1939,9.341205
United Kingdom,1940,9.788096
United Kingdom,1941,9.584419
United Kingdom,1942,9.550771
United Kingdom,1943,9.228189
United Kingdom,1944,8.949324
United Kingdom,1945,8.413136
United Kingdom,1946,8.66868
United Kingdom,1947,9.136656
United Kingdom,1948,9.218799
United Kingdom,1949,9.288478
United Kingdom,1950,9.056585
United Kingdom,1951,9.654132
United Kingdom,1952,9.302619
United Kingdom,1953,9.431252
United Kingdom,1954,9.497176
United Kingdom,1955,9.768755
United Kingdom,1956,9.6280365
United Kingdom,1957,9.342237
United Kingdom,1958,8.835327
United Kingdom,1959,8.148334
United Kingdom,1960,8.528067
United Kingdom,1961,8.374449
United Kingdom,1962,8.208931
United Kingdom,1963,8.187931
United Kingdom,1964,7.8920546
United Kingdom,1965,7.768143
United Kingdom,1966,7.3769403
United Kingdom,1967,6.702826
United Kingdom,1968,6.7034097
United Kingdom,1969,6.634858
United Kingdom,1970,6.3400116
United Kingdom,1971,6.1087236
United Kingdom,1972,5.227507
United Kingdom,1973,5.2654753
United Kingdom,1974,4.6843534
United Kingdom,1975,4.912824
United Kingdom,1976,4.892579
United Kingdom,1977,4.825748
United Kingdom,1978,4.613142
United Kingdom,1979,5.008518
United Kingdom,1980,4.6323647
United Kingdom,1981,4.6429114
United Kingdom,1982,4.3478303
United Kingdom,1983,4.38887
United Kingdom,1984,3.1453524
United Kingdom,1985,4.1393704
United Kingdom,1986,4.378481
United Kingdom,1987,4.5581956
United Kingdom,1988,4.380055
United Kingdom,1989,4.300207
United Kingdom,1990,4.4047246
United Kingdom,1991,4.406596
United Kingdom,1992,4.1190214
United Kingdom,1993,3.5893905
United Kingdom,1994,3.3683596
United Kingdom,1995,3.124416
United Kingdom,1996,2.96871
United Kingdom,1997,2.6473286
United Kingdom,1998,2.6282823
United Kingdom,1999,2.3507233
United Kingdom,2000,2.445811
United Kingdom,2001,2.5896204
United Kingdom,2002,2.3797324
United Kingdom,2003,2.5593748
United Kingdom,2004,2.4540863
United Kingdom,2005,2.44294
United Kingdom,2006,2.6345763
United Kingdom,2007,2.4513106
United Kingdom,2008,2.244481
United Kingdom,2009,1.8209891
United Kingdom,2010,1.8733051
United Kingdom,2011,1.844607
United Kingdom,2012,2.314014
United Kingdom,2013,2.2124233
United Kingdom,2014,1.7795717
United Kingdom,2015,1.4001999
United Kingdom,2016,0.7257881
United Kingdom,2017,0.5896935
United Kingdom,2018,0.49856207
United Kingdom,2019,0.36525637
United Kingdom,2020,0.33866033
United Kingdom,2021,0.35080862
United Kingdom,2022,0.28843862
United Kingdom,2023,0.25561368
United States,1800,0.042136
United States,1801,0.043749023
United States,1802,0.046463702
United States,1803,0.04675338
United States,1804,0.051547863
United States,1805,0.05170035
United States,1806,0.049647022
United States,1807,0.055148073
United States,1808,0.056223534
United States,1809,0.05672419
United States,1810,0.057195846
United States,1811,0.05957973
United States,1812,0.0625836
United States,1813,0.06519789
United States,1814,0.06802918
United States,1815,0.070616506
United States,1816,0.07547438
United States,1817,0.079147205
United States,1818,0.08329477
United States,1819,0.0788342
United States,1820,0.07940742
United States,1821,0.08064995
United States,1822,0.08181233
United States,1823,0.08290245
United States,1824,0.09074809
United States,1825,0.09872902
United States,1826,0.111148365
United States,1827,0.11888613
United States,1828,0.12727666
United States,1829,0.13939415
United States,1830,0.15767905
United States,1831,0.16626401
United States,1832,0.21589011
United States,1833,0.2451494
United States,1834,0.22857675
United States,1835,0.28379282
United States,1836,0.30255765
United States,1837,0.33012334
United States,1838,0.3045117
United States,1839,0.3247494
United States,1840,0.3359056
United States,1841,0.34518078
United States,1842,0.37302932
United States,1843,0.40623948
United States,1844,0.47249264
United States,1845,0.5519618
United States,1846,0.6075555
United States,1847,0.6989572
United States,1848,0.7553745
United States,1849,0.79568434
United States,1850,0.83870095
United States,1851,1.0133029
United States,1852,1.0699053
United States,1853,1.1693825
United States,1854,1.2480785
United States,1855,1.394424
United States,1856,1.4202958
United States,1857,1.4139436
United States,1858,1.3925428
United States,1859,1.4731518
United States,1860,1.49476
United States,1861,1.3824801
United States,1862,1.3909477
United States,1863,1.5813
United States,1864,1.6617737
United States,1865,1.6242064
United States,1866,1.5862812
United States,1867,1.9188744
United States,1868,2.1207907
United States,1869,2.3577232
United States,1870,2.4202204
United States,1871,2.4749055
United States,1872,2.9687572
United States,1873,3.1792195
United States,1874,2.9791627
United States,1875,2.9663277
United States,1876,2.8358126
United States,1877,3.0451052
United States,1878,2.8911824
United States,1879,3.4381328
United States,1880,3.7777607
United States,1881,3.910102
United States,1882,4.284365
United States,1883,4.5885906
United States,1884,4.7226715
United States,1885,4.6728253
United States,1886,4.7236204
United States,1887,4.8903275
United States,1888,5.8196177
United States,1889,5.091399
United States,1890,5.9935036
United States,1891,6.2694597
United States,1892,6.550595
United States,1893,6.508324
United States,1894,5.96108
United States,1895,6.6292453
United States,1896,6.4773088
United States,1897,6.631643
United States,1898,7.1473923
United States,1899,8.066104
United States,1900,8.37291
United States,1901,8.938718
United States,1902,9.214246
United States,1903,10.608215
United States,1904,10.13891
United States,1905,11.105704
United States,1906,11.500056
United States,1907,13.0534525
United States,1908,11.022267
United States,1909,12.032042
United States,1910,12.871568
United States,1911,12.481486
United States,1912,13.173104
United States,1913,13.844419
United States,1914,12.269324
United States,1915,12.530133
United States,1916,13.70202
United States,1917,14.883391
United States,1918,15.362329
United States,1919,12.314591
United States,1920,14.105484
United States,1921,10.840331
United States,1922,10.405954
United States,1923,13.909694
United States,1924,11.925891
United States,1925,11.997275
United States,1926,13.0359
United States,1927,11.967068
United States,1928,11.395098
United States,1929,11.876953
United States,1930,10.349978
United States,1931,8.453809
United States,1932,6.845743
United States,1933,7.25128
United States,1934,7.799969
United States,1935,7.8920803
United States,1936,9.126825
United States,1937,9.072281
United States,1938,7.1350555
United States,1939,7.9977164
United States,1940,9.031878
United States,1941,9.893829
United States,1942,11.00755
United States,1943,10.947491
United States,1944,11.348339
United States,1945,10.29184
United States,1946,9.27476
United States,1947,10.207437
United States,1948,9.956065
United States,1949,7.2789536
United States,1950,8.153112
United States,1951,7.7427673
United States,1952,6.7645617
United States,1953,6.6139245
United States,1954,5.582173
United States,1955,6.1746187
United States,1956,6.328198
United States,1957,5.9713426
United States,1958,5.0991163
United States,1959,5.1425323
United States,1960,5.0920324
United States,1961,4.8364778
United States,1962,4.9314327
United States,1963,5.1995635
United States,1964,5.4412384
United States,1965,5.574229
United States,1966,5.713141
United States,1967,5.7949643
United States,1968,5.613503
United States,1969,5.6405244
United States,1970,5.6213245
United States,1971,5.262677
United States,1972,5.284848
United States,1973,5.6775665
United States,1974,5.525021
United States,1975,5.453867
United States,1976,5.793083
United States,1977,5.8936014
United States,1978,5.8309174
United States,1979,6.2728753
United States,1980,6.325152
United States,1981,6.4729824
United States,1982,6.1777368
United States,1983,6.350197
United States,1984,6.752443
United States,1985,6.848223
United States,1986,6.70561
United States,1987,6.945101
United States,1988,7.2178416
United States,1989,7.233596
United States,1990,7.1615124
United States,1991,7.0072412
United States,1992,7.0001493
United States,1993,7.156732
United States,1994,7.1359005
United States,1995,7.1340785
United States,1996,7.360109
United States,1997,7.4551735
United States,1998,7.4708195
United States,1999,7.401269
United States,2000,7.686371
United States,2001,7.386135
United States,2002,7.3281927
United States,2003,7.3957434
United States,2004,7.392465
United States,2005,7.4001126
United States,2006,7.2056994
United States,2007,7.2058125
United States,2008,7.003598
United States,2009,6.078712
United States,2010,6.3747706
United States,2011,5.9638767
United States,2012,5.2299304
United States,2013,5.374416
United States,2014,5.294064
United States,2015,4.5354943
United States,2016,4.094859
United States,2017,3.939487
United States,2018,3.750505
United States,2019,3.172579
United States,2020,2.586408
United States,2021,2.9537725
United States,2022,2.75919
United States,2023,2.26148
