Country,Month,Reported cases of acute respiratory infections
Northern Hemisphere,2014/2/1,6082872
Northern Hemisphere,2014/3/1,6828741
Northern Hemisphere,2014/4/1,4171720
Northern Hemisphere,2014/5/1,3785993
Northern Hemisphere,2014/6/1,3926416
Northern Hemisphere,2014/7/1,2601385
Northern Hemisphere,2014/8/1,2179312
Northern Hemisphere,2014/9/1,4208782
Northern Hemisphere,2014/10/1,5513436
Northern Hemisphere,2014/11/1,5561081
Northern Hemisphere,2014/12/1,7028319
Northern Hemisphere,2015/1/1,5771312
Northern Hemisphere,2015/2/1,7497674
Northern Hemisphere,2015/3/1,7329222
Northern Hemisphere,2015/4/1,4363584
Northern Hemisphere,2015/5/1,3570518
Northern Hemisphere,2015/6/1,3716839
Northern Hemisphere,2015/7/1,2644652
Northern Hemisphere,2015/8/1,3143962
Northern Hemisphere,2015/9/1,4128879
Northern Hemisphere,2015/10/1,5115379
Northern Hemisphere,2015/11/1,6398832
Northern Hemisphere,2015/12/1,5058349
Northern Hemisphere,2016/1/1,6496965
Northern Hemisphere,2016/2/1,9439936
Northern Hemisphere,2016/3/1,5134356
Northern Hemisphere,2016/4/1,4608142
Northern Hemisphere,2016/5/1,4679389
Northern Hemisphere,2016/6/1,3083911
Northern Hemisphere,2016/7/1,2629202
Northern Hemisphere,2016/8/1,3314137
Northern Hemisphere,2016/9/1,4172096
Northern Hemisphere,2016/10/1,6400846
Northern Hemisphere,2016/11/1,5534532
Northern Hemisphere,2016/12/1,6886359
Northern Hemisphere,2017/1/1,8763880
Northern Hemisphere,2017/2/1,7293527
Northern Hemisphere,2017/3/1,6285264
Northern Hemisphere,2017/4/1,5042834
Northern Hemisphere,2017/5/1,5223393
Northern Hemisphere,2017/6/1,3415854
Northern Hemisphere,2017/7/1,3807286
Northern Hemisphere,2017/8/1,3135173
Northern Hemisphere,2017/9/1,4696796
Northern Hemisphere,2017/10/1,7087951
Northern Hemisphere,2017/11/1,5851833
Northern Hemisphere,2017/12/1,5751019
Northern Hemisphere,2018/1/1,7729834
Northern Hemisphere,2018/2/1,7512982
Northern Hemisphere,2018/3/1,6661336
Northern Hemisphere,2018/4/1,6267657
Northern Hemisphere,2018/5/1,3957695
Northern Hemisphere,2018/6/1,3305565
Northern Hemisphere,2018/7/1,3525795
Northern Hemisphere,2018/8/1,1862792
Northern Hemisphere,2018/9/1,2472452
Northern Hemisphere,2018/10/1,4343870
Northern Hemisphere,2018/11/1,3653134
Northern Hemisphere,2018/12/1,4943301
Northern Hemisphere,2019/1/1,4334309
Northern Hemisphere,2019/2/1,4918375
Northern Hemisphere,2019/3/1,3823755
Northern Hemisphere,2019/4/1,3674968
Northern Hemisphere,2019/5/1,2243731
Northern Hemisphere,2019/6/1,1787826
Northern Hemisphere,2019/7/1,1916630
Northern Hemisphere,2019/8/1,1580489
Northern Hemisphere,2019/9/1,3304137
Northern Hemisphere,2019/10/1,3507935
Northern Hemisphere,2019/11/1,3567881
Northern Hemisphere,2019/12/1,4079409
Northern Hemisphere,2020/1/1,4120984
Northern Hemisphere,2020/2/1,5206944
Northern Hemisphere,2020/3/1,5146090
Northern Hemisphere,2020/4/1,1409255
Northern Hemisphere,2020/5/1,915873
Northern Hemisphere,2020/6/1,977827
Northern Hemisphere,2020/7/1,945328
Northern Hemisphere,2020/8/1,1416082
Northern Hemisphere,2020/9/1,2475938
Northern Hemisphere,2020/10/1,3622738
Northern Hemisphere,2020/11/1,4553768
Northern Hemisphere,2020/12/1,2807024
Northern Hemisphere,2021/1/1,2950633
Northern Hemisphere,2021/2/1,3352162
Northern Hemisphere,2021/3/1,4319453
Northern Hemisphere,2021/4/1,3150226
Northern Hemisphere,2021/5/1,2628623
Northern Hemisphere,2021/6/1,1926373
Northern Hemisphere,2021/7/1,1878271
Northern Hemisphere,2021/8/1,2458094
Northern Hemisphere,2021/9/1,3469477
Northern Hemisphere,2021/10/1,5628096
Northern Hemisphere,2021/11/1,6791434
Northern Hemisphere,2021/12/1,5775350
Northern Hemisphere,2022/1/1,11715309
Northern Hemisphere,2022/2/1,6899027
Northern Hemisphere,2022/3/1,5163709
Northern Hemisphere,2022/4/1,4892445
Northern Hemisphere,2022/5/1,5828305
Northern Hemisphere,2022/6/1,4394221
Northern Hemisphere,2022/7/1,4212421
Northern Hemisphere,2022/8/1,4810060
Northern Hemisphere,2022/9/1,6109228
Northern Hemisphere,2022/10/1,9109562
Northern Hemisphere,2022/11/1,9143162
Northern Hemisphere,2022/12/1,10736755
Northern Hemisphere,2023/1/1,9493130
Northern Hemisphere,2023/2/1,8167702
Northern Hemisphere,2023/3/1,7143391
Northern Hemisphere,2023/4/1,5663778
Northern Hemisphere,2023/5/1,5886665
Northern Hemisphere,2023/6/1,2808130
Northern Hemisphere,2023/7/1,2876655
Northern Hemisphere,2023/8/1,2713113
Northern Hemisphere,2023/9/1,4741329
Northern Hemisphere,2023/10/1,7307791
Northern Hemisphere,2023/11/1,6939032
Northern Hemisphere,2023/12/1,8586437
Northern Hemisphere,2024/1/1,9412421
Northern Hemisphere,2024/2/1,7158163
Northern Hemisphere,2024/3/1,5656540
Northern Hemisphere,2024/4/1,6097618
Northern Hemisphere,2024/5/1,3859182
Northern Hemisphere,2024/6/1,3055591
Northern Hemisphere,2024/7/1,3178697
Southern Hemisphere,2014/1/1,236525
Southern Hemisphere,2014/2/1,264222
Southern Hemisphere,2014/3/1,396430
Southern Hemisphere,2014/4/1,358386
Southern Hemisphere,2014/5/1,412100
Southern Hemisphere,2014/6/1,502277
Southern Hemisphere,2014/7/1,333229
Southern Hemisphere,2014/8/1,336768
Southern Hemisphere,2014/9/1,270181
Southern Hemisphere,2014/10/1,0
Southern Hemisphere,2014/11/1,0
Southern Hemisphere,2014/12/1,0
Southern Hemisphere,2015/1/1,53652
Southern Hemisphere,2015/2/1,54534
Southern Hemisphere,2015/3/1,88881
Southern Hemisphere,2015/4/1,73044
Southern Hemisphere,2015/5/1,75639
Southern Hemisphere,2015/6/1,118375
Southern Hemisphere,2015/7/1,88015
Southern Hemisphere,2015/8/1,112073
Southern Hemisphere,2015/9/1,86473
Southern Hemisphere,2015/10/1,101618
Southern Hemisphere,2015/11/1,91619
Southern Hemisphere,2015/12/1,44634
Southern Hemisphere,2016/1/1,303938
Southern Hemisphere,2016/2/1,363772
Southern Hemisphere,2016/3/1,328537
Southern Hemisphere,2016/4/1,391584
Southern Hemisphere,2016/5/1,590500
Southern Hemisphere,2016/6/1,575496
Southern Hemisphere,2016/7/1,516516
Southern Hemisphere,2016/8/1,563887
Southern Hemisphere,2016/9/1,453745
Southern Hemisphere,2016/10/1,501713
Southern Hemisphere,2016/11/1,350359
Southern Hemisphere,2016/12/1,302769
Southern Hemisphere,2017/1/1,287851
Southern Hemisphere,2017/2/1,233896
Southern Hemisphere,2017/3/1,292709
Southern Hemisphere,2017/4/1,322476
Southern Hemisphere,2017/5/1,447043
Southern Hemisphere,2017/6/1,395109
Southern Hemisphere,2017/7/1,429761
Southern Hemisphere,2017/8/1,315981
Southern Hemisphere,2017/9/1,338228
Southern Hemisphere,2017/10/1,413754
Southern Hemisphere,2017/11/1,332866
Southern Hemisphere,2017/12/1,269975
Southern Hemisphere,2018/1/1,299516
Southern Hemisphere,2018/2/1,217565
Southern Hemisphere,2018/3/1,249922
Southern Hemisphere,2018/4/1,414122
Southern Hemisphere,2018/5/1,390419
Southern Hemisphere,2018/6/1,439938
Southern Hemisphere,2018/7/1,496722
Southern Hemisphere,2018/8/1,354306
Southern Hemisphere,2018/9/1,350911
Southern Hemisphere,2018/10/1,380976
Southern Hemisphere,2018/11/1,298600
Southern Hemisphere,2018/12/1,288686
Southern Hemisphere,2019/1/1,233429
Southern Hemisphere,2019/2/1,241707
Southern Hemisphere,2019/3/1,279007
Southern Hemisphere,2019/4/1,378666
Southern Hemisphere,2019/5/1,363979
Southern Hemisphere,2019/6/1,415995
Southern Hemisphere,2019/7/1,454742
Southern Hemisphere,2019/8/1,349154
Southern Hemisphere,2019/9/1,466465
Southern Hemisphere,2019/10/1,271982
Southern Hemisphere,2019/11/1,211676
Southern Hemisphere,2019/12/1,244293
Southern Hemisphere,2020/1/1,226244
Southern Hemisphere,2020/2/1,219505
Southern Hemisphere,2020/3/1,213569
Southern Hemisphere,2020/4/1,52040
Southern Hemisphere,2020/5/1,54345
Southern Hemisphere,2020/6/1,83174
Southern Hemisphere,2020/7/1,90754
Southern Hemisphere,2020/8/1,111673
Southern Hemisphere,2020/9/1,78410
Southern Hemisphere,2020/10/1,84347
Southern Hemisphere,2020/11/1,118652
Southern Hemisphere,2020/12/1,76757
Southern Hemisphere,2021/1/1,53379
Southern Hemisphere,2021/2/1,46142
Southern Hemisphere,2021/3/1,60812
Southern Hemisphere,2021/4/1,58815
Southern Hemisphere,2021/5/1,74676
Southern Hemisphere,2021/6/1,67185
Southern Hemisphere,2021/7/1,70140
Southern Hemisphere,2021/8/1,88547
Southern Hemisphere,2021/9/1,72046
Southern Hemisphere,2021/10/1,79809
Southern Hemisphere,2021/11/1,109126
Southern Hemisphere,2021/12/1,42436
Southern Hemisphere,2022/1/1,305504
Southern Hemisphere,2022/2/1,130120
Southern Hemisphere,2022/3/1,208102
Southern Hemisphere,2022/4/1,292152
Southern Hemisphere,2022/5/1,499617
Southern Hemisphere,2022/6/1,440150
Southern Hemisphere,2022/7/1,387308
Southern Hemisphere,2022/8/1,384561
Southern Hemisphere,2022/9/1,341215
Southern Hemisphere,2022/10/1,371589
Southern Hemisphere,2022/11/1,317074
Southern Hemisphere,2022/12/1,278835
Southern Hemisphere,2023/1/1,330545
Southern Hemisphere,2023/2/1,173521
Southern Hemisphere,2023/3/1,246968
Southern Hemisphere,2023/4/1,302514
Southern Hemisphere,2023/5/1,434889
Southern Hemisphere,2023/6/1,373820
Southern Hemisphere,2023/7/1,399253
Southern Hemisphere,2023/8/1,297723
Southern Hemisphere,2023/9/1,296533
Southern Hemisphere,2023/10/1,363906
Southern Hemisphere,2023/11/1,282374
Southern Hemisphere,2023/12/1,198000
Southern Hemisphere,2024/1/1,247008
Southern Hemisphere,2024/2/1,161767
Southern Hemisphere,2024/3/1,216433
Southern Hemisphere,2024/4/1,322041
Southern Hemisphere,2024/5/1,331357
Southern Hemisphere,2024/6/1,375222
Southern Hemisphere,2024/7/1,230329
