Entity,Year,Government expenditure (% of GDP)
Austria,1952,22.0753
Austria,1953,26.337
Austria,1954,24.6186
Austria,1955,24.228
Austria,1956,24.2479
Austria,1957,25.8311
Austria,1958,28.3818
Austria,1959,27.3466
Austria,1960,36.2942
Austria,1961,35.7136
Austria,1962,37.5606
Austria,1963,38.6364
Austria,1964,38.6713
Austria,1965,38.3485
Austria,1966,38.7462
Austria,1967,40.7306
Austria,1968,40.8932
Austria,1969,40.6874
Austria,1970,39.5416
Austria,1971,40.0326
Austria,1972,40.0675
Austria,1973,41.5018
Austria,1974,42.0256
Austria,1975,46.0928
Austria,1976,47.9401
Austria,1977,47.6352
Austria,1978,50.7709
Austria,1979,49.756
Austria,1980,50.0084
Austria,1981,51.521
Austria,1982,52.0307
Austria,1983,52.4378
Austria,1984,52.5535
Austria,1985,53.5177
Austria,1986,54.2616
Austria,1987,54.5324
Austria,1988,53.0991
Austria,1989,51.6089
Austria,1990,51.5051
Austria,1991,52.587
Austria,1992,53.3828
Austria,1993,56.4297
Austria,1994,56.12
Austria,1995,56.311
Austria,1996,55.8612
Austria,1997,53.4719
Austria,1998,53.709
Austria,1999,53.4185
Austria,2000,51.9428
Austria,2001,51.295
Austria,2002,50.6739
Austria,2003,51.321
Austria,2004,53.7575
Austria,2005,49.9852
Austria,2006,49.1414
Austria,2007,48.6025
Austria,2008,49.3354
Austria,2009,52.8932
Austria,2010,52.5259
Austria,2011,50.891964
Austria,2012,51.213223
Austria,2013,51.64788
Austria,2014,52.32171
Austria,2015,51.027367
Austria,2016,50.071316
Austria,2017,49.298893
Austria,2018,48.757645
Austria,2019,48.67155
Austria,2020,56.782906
Austria,2021,56.054405
Austria,2022,52.79795
